Output log dir: ./results/yolo_v3_fp32_origin/2019-12-03_09-19-08
Creating pipeline:
===========================================================================
DEBUG:DEBUG:
0it [00:00, ?it/s]
13it [00:00, 123.93it/s]
26it [00:00, 123.87it/s]
39it [00:00, 123.04it/s]
1088it [00:09, 114.47it/s]
1100it [00:09, 115.83it/s]
1113it [00:09, 117.27it/s]
1125it [00:09, 117.12it/s]
1137it [00:09, 114.30it/s]
1149it [00:10, 112.19it/s]
1161it [00:10, 112.50it/s]
1173it [00:10, 112.72it/s]
1185it [00:10, 112.53it/s]
1197it [00:10, 112.92it/s]
1209it [00:10, 113.89it/s]
1221it [00:10, 115.63it/s]
1234it [00:10, 117.05it/s]
1246it [00:10, 117.91it/s]
1258it [00:10, 118.24it/s]
1270it [00:11, 114.65it/s]
1282it [00:11, 114.25it/s]
1294it [00:11, 114.58it/s]
1306it [00:11, 114.73it/s]
1318it [00:11, 112.86it/s]
1330it [00:11, 113.16it/s]
1342it [00:11, 114.24it/s]
1354it [00:11, 114.79it/s]
1366it [00:11, 115.32it/s]
1378it [00:12, 114.58it/s]
1390it [00:12, 114.14it/s]
1402it [00:12, 113.03it/s]
1414it [00:12, 112.66it/s]
1426it [00:12, 112.96it/s]
1438it [00:12, 114.57it/s]
1450it [00:12, 113.19it/s]
1462it [00:12, 113.08it/s]
1474it [00:12, 110.93it/s]
1486it [00:13, 111.25it/s]
1498it [00:13, 111.04it/s]
1510it [00:13, 111.99it/s]
1522it [00:13, 113.51it/s]
1534it [00:13, 115.34it/s]
1546it [00:13, 112.81it/s]
1558it [00:13, 113.19it/s]
1570it [00:13, 113.20it/s]
1582it [00:13, 111.64it/s]
1594it [00:13, 111.41it/s]
1606it [00:14, 112.53it/s]
1618it [00:14, 114.17it/s]
1630it [00:14, 114.30it/s]
1643it [00:14, 116.13it/s]
1655it [00:14, 114.56it/s]
1667it [00:14, 114.47it/s]
1679it [00:14, 112.28it/s]
1691it [00:14, 111.95it/s]
1703it [00:14, 112.57it/s]
1715it [00:15, 112.09it/s]
1727it [00:15, 111.12it/s]
1739it [00:15, 111.73it/s]
1751it [00:15, 112.06it/s]
1763it [00:15, 113.10it/s]
1775it [00:15, 113.76it/s]
1787it [00:15, 115.12it/s]
1800it [00:15, 116.89it/s]
1812it [00:15, 115.17it/s]
1824it [00:15, 113.57it/s]
1836it [00:16, 111.86it/s]
1848it [00:16, 112.19it/s]
1860it [00:16, 110.03it/s]
1872it [00:16, 110.29it/s]
1884it [00:16, 111.94it/s]
1896it [00:16, 113.57it/s]
1908it [00:16, 114.87it/s]
1920it [00:16, 112.61it/s]
1932it [00:16, 111.49it/s]
1944it [00:17, 109.16it/s]
1955it [00:17, 108.62it/s]
1967it [00:17, 110.09it/s]
1979it [00:17, 111.72it/s]
1991it [00:17, 110.41it/s]
2003it [00:17, 110.74it/s]
2015it [00:17, 111.78it/s]
2027it [00:17, 112.10it/s]
2039it [00:17, 112.89it/s]
2051it [00:18, 112.62it/s]
2063it [00:18, 112.16it/s]
2075it [00:18, 111.81it/s]
2087it [00:18, 110.84it/s]
2099it [00:18, 111.35it/s]
2111it [00:18, 112.46it/s]
2123it [00:18, 112.00it/s]
2135it [00:18, 111.71it/s]
2147it [00:18, 112.07it/s]
2159it [00:18, 112.99it/s]
2171it [00:19, 111.70it/s]
2183it [00:19, 111.94it/s]
2195it [00:19, 112.93it/s]
2208it [00:19, 116.05it/s]
2220it [00:19, 113.11it/s]
2232it [00:19, 113.37it/s]
2244it [00:19, 114.46it/s]
2256it [00:19, 114.34it/s]
2268it [00:19, 112.10it/s]
2280it [00:20, 110.42it/s]
2292it [00:20, 110.43it/s]
2304it [00:20, 111.26it/s]
2316it [00:20, 111.34it/s]
2328it [00:20, 110.77it/s]
2340it [00:20, 111.75it/s]
2352it [00:20, 110.22it/s]
2364it [00:20, 110.34it/s]
2376it [00:20, 111.23it/s]
2388it [00:21, 111.14it/s]
2400it [00:21, 110.05it/s]
2412it [00:21, 110.06it/s]
2424it [00:21, 110.77it/s]
2436it [00:21, 111.50it/s]
2448it [00:21, 112.60it/s]
2460it [00:21, 113.99it/s]
2473it [00:21, 116.38it/s]
2485it [00:21, 114.78it/s]
2497it [00:22, 113.03it/s]
2509it [00:22, 110.83it/s]
2521it [00:22, 110.28it/s]
2533it [00:22, 108.10it/s]
2545it [00:22, 108.84it/s]
2557it [00:22, 109.72it/s]
2569it [00:22, 111.11it/s]
2581it [00:22, 111.68it/s]
2593it [00:22, 112.49it/s]
2606it [00:22, 115.16it/s]
2618it [00:23, 112.75it/s]
2630it [00:23, 112.22it/s]
2642it [00:23, 112.81it/s]
2654it [00:23, 113.28it/s]
2666it [00:23, 111.08it/s]
2678it [00:23, 110.43it/s]
2690it [00:23, 111.16it/s]
2702it [00:23, 112.06it/s]
2714it [00:23, 112.74it/s]
2726it [00:24, 112.25it/s]
2738it [00:24, 112.26it/s]
2750it [00:24, 111.16it/s]
2762it [00:24, 111.06it/s]
2775it [00:24, 113.65it/s]
2787it [00:24, 114.80it/s]
2799it [00:24, 112.64it/s]
2811it [00:24, 112.16it/s]
2823it [00:24, 112.68it/s]
2835it [00:25, 112.70it/s]
2847it [00:25, 112.00it/s]
2859it [00:25, 112.83it/s]
2871it [00:25, 113.93it/s]
2883it [00:25, 114.40it/s]
2895it [00:25, 112.54it/s]
2907it [00:25, 113.26it/s]
2919it [00:25, 114.25it/s]
2931it [00:25, 113.50it/s]
2943it [00:25, 112.09it/s]
2955it [00:26, 110.19it/s]
2967it [00:26, 109.85it/s]
2979it [00:26, 110.15it/s]
2991it [00:26, 111.39it/s]
3003it [00:26, 112.91it/s]
3015it [00:26, 114.68it/s]
3027it [00:26, 112.77it/s]
3039it [00:26, 112.81it/s]
3051it [00:26, 113.08it/s]
3063it [00:27, 111.51it/s]
3075it [00:27, 110.69it/s]
3087it [00:27, 111.38it/s]
3100it [00:27, 114.18it/s]
3112it [00:27, 114.62it/s]
3124it [00:27, 114.79it/s]
3136it [00:27, 115.63it/s]
3148it [00:27, 116.71it/s]
3160it [00:27, 115.36it/s]
3172it [00:28, 112.80it/s]
3184it [00:28, 111.59it/s]
3196it [00:28, 111.66it/s]
3208it [00:28, 109.52it/s]
3219it [00:28, 109.42it/s]
3230it [00:28, 107.34it/s]
3241it [00:28, 107.19it/s]
3253it [00:28, 108.99it/s]
3265it [00:28, 111.49it/s]
3277it [00:28, 113.08it/s]
3289it [00:29, 111.41it/s]
3301it [00:29, 110.85it/s]
3313it [00:29, 111.43it/s]
3325it [00:29, 113.71it/s]
3337it [00:29, 112.09it/s]
3349it [00:29, 111.33it/s]
3361it [00:29, 111.75it/s]
3373it [00:29, 112.61it/s]
3385it [00:29, 113.52it/s]
3397it [00:30, 113.61it/s]
3409it [00:30, 112.99it/s]
3421it [00:30, 113.89it/s]
3433it [00:30, 110.35it/s]
3445it [00:30, 111.33it/s]
3457it [00:30, 113.05it/s]
3469it [00:30, 113.65it/s]
3481it [00:30, 112.70it/s]
3493it [00:30, 113.11it/s]
3505it [00:30, 113.73it/s]
3517it [00:31, 112.48it/s]
3529it [00:31, 113.21it/s]
3541it [00:31, 114.63it/s]
3553it [00:31, 115.81it/s]
3565it [00:31, 114.11it/s]
3577it [00:31, 113.68it/s]
3589it [00:31, 114.54it/s]
3601it [00:31, 115.41it/s]
3613it [00:31, 113.43it/s]
3625it [00:32, 112.51it/s]
3637it [00:32, 112.27it/s]
